order_n,line_no,matrix,sku,description,size,color_code,color,ean,composition,quantity,unit_price,line_discount,amount,pvp,genere,made_in,fabric,tariff_no,wash,bleaching,ironing,dry_cleaning,tumble_dry,net_weight,gross_weight,collection,collection_no,item_category,item_group,launching,brand,product_line
SO25-03660,420000,B126AC092,B126AC09241103,New Hairline woven pants,6-7 Years,411,NAVY BLUE,8445782364827,"9% Recycled Cotton, 69% Cotton, 22% Organic Cotton",1,28,0,28,70,BOY,ES,WOVEN,6203423500,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,099","0,103",KID_BABY,SS26M,PANTS,BAGGY PANTS,Launching 1,B,KID
SO25-03660,430000,B126AC092,B126AC09241104,New Hairline woven pants,8-9 Years,411,NAVY BLUE,8445782364834,"9% Recycled Cotton, 69% Cotton, 22% Organic Cotton",1,28,0,28,70,BOY,ES,WOVEN,6203423500,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,099","0,103",KID_BABY,SS26M,PANTS,BAGGY PANTS,Launching 1,B,KID
SO25-03660,440000,B126AC092,B126AC09241105,New Hairline woven pants,10-11 Years,411,NAVY BLUE,8445782364841,"9% Recycled Cotton, 69% Cotton, 22% Organic Cotton",1,28,0,28,70,BOY,ES,WOVEN,6203423500,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,099","0,103",KID_BABY,SS26M,PANTS,BAGGY PANTS,Launching 1,B,KID
SO25-03660,450000,B126AC122,B126AC12241103,Bobo Choses Striped denim jacket,6-7 Years,411,NAVY BLUE,8445782366623,100% Organic Cotton,1,54,0,54,135,BOY,PT,WOVEN,6201121000,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,492","0,5",KID_BABY,SS26M,OUTERWEAR,DENIM JACKET,Launching 1,B,KID
SO25-03660,460000,B126AC122,B126AC12241104,Bobo Choses Striped denim jacket,8-9 Years,411,NAVY BLUE,8445782366630,100% Organic Cotton,1,54,0,54,135,BOY,PT,WOVEN,6201121000,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,492","0,5",KID_BABY,SS26M,OUTERWEAR,DENIM JACKET,Launching 1,B,KID
SO25-03660,470000,B126AC046,B126AC04640102,Pickles The Dog sweatshirt,4-5 Years,401,MIDNIGHT BLUE,8445782362052,"66% Organic Cotton, 34% Circulose Viscose",1,"24,8",0,"24,8",62,BOY,ES,KNIT,6110209100,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,311","0,319",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,480000,B126AC046,B126AC04640103,Pickles The Dog sweatshirt,6-7 Years,401,MIDNIGHT BLUE,8445782362069,"66% Organic Cotton, 34% Circulose Viscose",1,"24,8",0,"24,8",62,BOY,ES,KNIT,6110209100,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,311","0,319",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,490000,B126AC046,B126AC04640104,Pickles The Dog sweatshirt,8-9 Years,401,MIDNIGHT BLUE,8445782362076,"66% Organic Cotton, 34% Circulose Viscose",1,"24,8",0,"24,8",62,BOY,ES,KNIT,6110209100,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,311","0,319",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,500000,B126AC158,B126AC15866102,Van Dog T-shirt,4-5 Years,661,PINK,8445782381428,100% Organic Cotton,1,14,0,14,35,GIRL,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,002","0,002",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,510000,B126AC099,B126AC09941103,Pickles The Dog Striped denim pants,6-7 Years,411,NAVY BLUE,8445782365244,100% Organic Cotton,1,38,0,38,95,BOY,PT,WOVEN,6203423100,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,395","0,403",KID_BABY,SS26M,PANTS,DENIM PANTS,Launching 1,B,KID
SO25-03660,520000,B126AC038,B126AC03804105,Friends In A Pickle sweatshirt,10-11 Years,041,HEATHER GREY,8445782361604,100% Organic Cotton,1,"24,8",0,"24,8",62,BOY,PT,KNIT,6110209100,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,216","0,224",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,530000,B126AC051,B126AC05104105,Spicy Pickles hoodie,10-11 Years,041,HEATHER GREY,8445782362380,100% Organic Cotton,1,28,0,28,70,BOY,PT,KNIT,6110209100,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,295","0,303",KID_BABY,SS26M,SWEATSHIRT,HOODIE,Launching 1,B,KID
SO25-03660,540000,B126AC088,B126AC08804104,Bobo Choses straight jogging pants,8-9 Years,041,HEATHER GREY,8445782364599,100% Organic Cotton,1,24,0,24,60,BOY,PT,KNIT,6103420000,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,371","0,379",KID_BABY,SS26M,PANTS,JOGGING PANTS,Launching 1,B,KID
SO25-03660,550000,B126AC017,B126AC01719905,Pickles The Dog T-shirt,10-11 Years,199,OFFWHITE,8445782360348,100% Organic Cotton,1,"14,8",0,"14,8",37,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,093","0,097",KID_BABY,SS26M,T-SHIRT,SHORT SLEEVE,Launching 1,B,KID
SO25-03660,560000,B126AC019,B126AC01919905,Rapid Radish oversized T-shirt,10-11 Years,199,OFFWHITE,8445782360461,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,107","0,115",KID_BABY,SS26M,T-SHIRT,LOOSE FIT,Launching 1,B,KID
SO25-03660,570000,B126AC047,B126AC04766105,Dog Friendship sweatshirt,10-11 Years,661,PINK,8445782362144,"66% Organic Cotton, 17% Recycled Cotton, 17% Cotton",1,"24,8",0,"24,8",62,GIRL,ES,KNIT,6110209900,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,276","0,284",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
